📛央 视V6,#genre#
CCTV01,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225723/index.m3u8
CCTV01,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226163/index.m3u8
CCTV01,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225770/index.m3u8
CCTV02,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226122/index.m3u8
CCTV03,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226165/index.m3u8
CCTV03,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225766/index.m3u8
CCTV04,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226124/index.m3u8
CCTV05,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226146/index.m3u8
CCTV05,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225734/index.m3u8
CCTV06,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225741/index.m3u8
CCTV06,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226148/index.m3u8
CCTV07,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226137/index.m3u8
CCTV07,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226143/index.m3u8
CCTV07,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225701/index.m3u8
CCTV08,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225736/index.m3u8
CCTV08,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226167/index.m3u8
CCTV09,http://go.bkpcp.top/mg/cctv9
CCTV10,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226169/index.m3u8
CCTV10,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225743/index.m3u8
CCTV11,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226145/index.m3u8
CCTV11,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226101/index.m3u8
CCTV12,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226103/index.m3u8
CCTV12,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226126/index.m3u8
CCTV13,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226128/index.m3u8
CCTV14,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226150/index.m3u8
CCTV14,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225738/index.m3u8
CCTV15,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226147/index.m3u8
CCTV16,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226120/index.m3u8
CCTV17,http://go.bkpcp.top/mg/cctv17
CCTV17,http://nn.7x9d.cn/xzc2.php?ua=TW96aWxsYS81LjAgKFdpbmRvd3MgTlQgNi4xOyBXaW42NDsgeDY0KSBBcHBsZVdlYktpdC81MzcuMzYgKEtIVE1MLCBsaWtlIEdlY2tvKSBDaHJvbWUvMTA2LjAuMC4wIFNhZmFyaS81MzcuMzY=&hls=aHR0cDovLzIyMi44NS4xOTguOTI6ODAwMC9obHMvMTUvaW5kZXgubTN1OA==
CCTV17,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221227592/index.m3u8

📛卫 视V6,#genre#
湖南卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225726/index.m3u8
浙江卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225727/index.m3u8
天津卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225742/index.m3u8
东南卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225745/index.m3u8
江苏卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225720/index.m3u8
东方卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225725/index.m3u8
东方卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226106/index.m3u8
北京卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225724/index.m3u8
深圳卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225728/index.m3u8
广东卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225731/index.m3u8
湖北卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225729/index.m3u8
湖北卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226107/index.m3u8
山东卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225733/index.m3u8
安徽卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225739/index.m3u8
江西卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225740/index.m3u8
辽宁卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225747/index.m3u8
吉林卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226082/index.m3u8
广西卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226084/index.m3u8
甘肃卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226090/index.m3u8
云南卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226109/index.m3u8
山西卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226113/index.m3u8
广西卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226130/index.m3u8
河南卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226132/index.m3u8
吉林卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226149/index.m3u8
云南卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226151/index.m3u8
四川卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226152/index.m3u8
海南卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226154/index.m3u8
重庆卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226171/index.m3u8
贵州卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226173/index.m3u8
黑龙江视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225722/index.m3u8
青海卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226105/index.m3u8
📛动漫V6,#genre#
金鹰卡通,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226094/index.m3u8
哈哈炫动,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226161/index.m3u8
哈哈炫动,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226175/index.m3u
卡酷少儿,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226019/index.m3u8

广东频道,#genre# 
广东珠江,http://rustdesk.szsun.xyz:8088/udp/239.77.0.1:5146
广东新闻,http://rustdesk.szsun.xyz:8088/udp/239.77.0.173:5146
广东民生,http://rustdesk.szsun.xyz:8088/udp/239.77.0.225:5146
广东体育,http://rustdesk.szsun.xyz:8088/udp/239.77.0.112:5146
广东影视,http://rustdesk.szsun.xyz:8088/udp/239.77.0.217:5146
广东经济,http://rustdesk.szsun.xyz:8088/udp/239.77.0.85:5146
广东湾区,http://rustdesk.szsun.xyz:8088/udp/239.77.0.215:5146
广东少儿,http://rustdesk.szsun.xyz:8088/udp/239.77.0.250:5146
嘉佳卡通,http://rustdesk.szsun.xyz:8088/udp/239.77.0.179:5146
湛江新闻,http://rustdesk.szsun.xyz:8088/udp/239.77.0.141:5146
湛江公共,http://rustdesk.szsun.xyz:8088/udp/239.77.0.140:5146
东莞新闻,http://rustdesk.szsun.xyz:8088/udp/239.253.43.104:5146
东莞资讯,http://rustdesk.szsun.xyz:8088/udp/239.253.43.105:5146

央视频道,#genre#
CCTV-01,http://34.80.180.91:5050/smart.php?id=cctv1
CCTV-02,http://34.80.180.91:5050/smart.php?id=cctv2
CCTV-03,http://34.80.180.91:5050/smart.php?id=cctv3
CCTV-04,http://34.80.180.91:5050/smart.php?id=Cctv4
CCTV-04,http://34.80.180.91:5050/smart.php?id=cctv4
CCTV-05,http://34.80.180.91:5050/smart.php?id=cctv5
CCTV-5+,http://34.80.180.91:5050/smart.php?id=cctv5plus
CCTV-06,http://34.80.180.91:5050/smart.php?id=cctv6
CCTV-07,http://34.80.180.91:5050/smart.php?id=cctv7
CCTV-08,http://34.80.180.91:5050/smart.php?id=cctv8hd
CCTV-09,http://34.80.180.91:5050/smart.php?id=cctv9hd
CCTV-10,http://34.80.180.91:5050/smart.php?id=cctv10hd
CCTV-11,http://34.80.180.91:5050/smart.php?id=cctv11
CCTV-12,http://34.80.180.91:5050/smart.php?id=cctv12
CCTV-13,http://34.80.180.91:5050/smart.php?id=cctv13
CCTV-14,http://34.80.180.91:5050/smart.php?id=cctv14
CCTV-15,http://34.80.180.91:5050/smart.php?id=cctv15
CCTV-16,http://34.80.180.91:5050/smart.php?id=cctv16
CCTV-17,http://34.80.180.91:5050/smart.php?id=cctv17

广东频道,#genre# 
广东珠江,http://rustdesk.szsun.xyz:8088/udp/239.77.0.1:5146
广东新闻,http://rustdesk.szsun.xyz:8088/udp/239.77.0.173:5146
广东民生,http://rustdesk.szsun.xyz:8088/udp/239.77.0.225:5146
广东体育,http://rustdesk.szsun.xyz:8088/udp/239.77.0.112:5146
广东影视,http://rustdesk.szsun.xyz:8088/udp/239.77.0.217:5146
广东经济,http://rustdesk.szsun.xyz:8088/udp/239.77.0.85:5146
广东湾区,http://rustdesk.szsun.xyz:8088/udp/239.77.0.215:5146
广东少儿,http://rustdesk.szsun.xyz:8088/udp/239.77.0.250:5146
嘉佳卡通,http://rustdesk.szsun.xyz:8088/udp/239.77.0.179:5146
